Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Activity_Controller_API,,,2019-06-19 19:29:53,2019-06-19 19:30:07,13.290s,FAILED
,,,,,,
Test Cases/Activity_Controller_API/Activity_Controller_Verify_Response_with_valid_Values,,,2019-06-19 19:29:54,2019-06-19 19:30:01,7.088s,PASSED
"response = sendRequest(findTestObject(""Activity_Controller_API/Activity_Controller_Verify_Response_with_valid_Values""))",,,2019-06-19 19:29:55,2019-06-19 19:30:00,4.995s,PASSED
"verifyResponseStatusCode(response, 200)",,,2019-06-19 19:30:00,2019-06-19 19:30:00,0.084s,PASSED
"verifyElementPropertyValue(response, ""[0].owner"", owner)",,,2019-06-19 19:30:00,2019-06-19 19:30:00,0.444s,PASSED
"verifyElementPropertyValue(response, ""[0].activityId"", activityId)",,,2019-06-19 19:30:00,2019-06-19 19:30:00,0.047s,PASSED
"verifyElementPropertyValue(response, ""[0].activityType"", activityType)",,,2019-06-19 19:30:00,2019-06-19 19:30:00,0.052s,PASSED
"verifyElementPropertyValue(response, ""[0].description"", description)",,,2019-06-19 19:30:00,2019-06-19 19:30:00,0.087s,PASSED
"verifyElementPropertyValue(response, ""[0].disposition"", disposition)",,,2019-06-19 19:30:00,2019-06-19 19:30:01,0.046s,PASSED
"verifyElementPropertyValue(response, ""[0].databaseName"", databaseName)",,,2019-06-19 19:30:01,2019-06-19 19:30:01,0.067s,PASSED
"verifyElementPropertyValue(response, ""[0].dataBaseAction"", dataBaseAction)",,,2019-06-19 19:30:01,2019-06-19 19:30:01,0.038s,PASSED
"verifyElementPropertyValue(response, ""[0].mapName"", mapName)",,,2019-06-19 19:30:01,2019-06-19 19:30:01,0.093s,PASSED
"verifyElementPropertyValue(response, ""[0].programID"", programID)",,,2019-06-19 19:30:01,2019-06-19 19:30:01,0.046s,PASSED
"verifyElementPropertyValue(response, ""[0].programName"", programName)",,,2019-06-19 19:30:01,2019-06-19 19:30:01,0.050s,PASSED
"verifyElementPropertyValue(response, ""[0].language"", language)",,,2019-06-19 19:30:01,2019-06-19 19:30:01,0.040s,PASSED
"verifyElementPropertyValue(response, ""[0].count"", count)",,,2019-06-19 19:30:01,2019-06-19 19:30:01,0.047s,PASSED
"verifyElementPropertyValue(response, ""[0].listADG"", listADG)",,,2019-06-19 19:30:01,2019-06-19 19:30:01,0.035s,PASSED
,,,,,,
Test Cases/Activity_Controller_API/Activity_Controller_Verify_Response_with_Empty_Values,,,2019-06-19 19:30:01,2019-06-19 19:30:02,1.075s,FAILED
"response = sendRequest(findTestObject(""Activity_Controller_API/Activity_Controller_Verify_Response_with_Empty_Values""))",,,2019-06-19 19:30:01,2019-06-19 19:30:02,0.281s,PASSED
"verifyResponseStatusCode(response, 200)",,,2019-06-19 19:30:02,2019-06-19 19:30:02,0.002s,PASSED
"verifyElementPropertyValue(response, ""[0].owner"", owner)",,,2019-06-19 19:30:02,2019-06-19 19:30:02,0.043s,FAILED
"verifyElementPropertyValue(response, ""[0].activityId"", activityId)",,,2019-06-19 19:30:02,2019-06-19 19:30:02,0.031s,FAILED
"verifyElementPropertyValue(response, ""[0].activityType"", activityType)",,,2019-06-19 19:30:02,2019-06-19 19:30:02,0.033s,FAILED
"verifyElementPropertyValue(response, ""[0].description"", description)",,,2019-06-19 19:30:02,2019-06-19 19:30:02,0.035s,FAILED
"verifyElementPropertyValue(response, ""[0].disposition"", disposition)",,,2019-06-19 19:30:02,2019-06-19 19:30:02,0.029s,FAILED
"verifyElementPropertyValue(response, ""[0].databaseName"", databaseName)",,,2019-06-19 19:30:02,2019-06-19 19:30:02,0.026s,FAILED
"verifyElementPropertyValue(response, ""[0].dataBaseAction"", dataBaseAction)",,,2019-06-19 19:30:02,2019-06-19 19:30:02,0.046s,FAILED
"verifyElementPropertyValue(response, ""[0].mapName"", mapName)",,,2019-06-19 19:30:02,2019-06-19 19:30:02,0.035s,FAILED
"verifyElementPropertyValue(response, ""[0].programID"", programID)",,,2019-06-19 19:30:02,2019-06-19 19:30:02,0.041s,FAILED
"verifyElementPropertyValue(response, ""[0].programName"", programName)",,,2019-06-19 19:30:02,2019-06-19 19:30:02,0.037s,FAILED
"verifyElementPropertyValue(response, ""[0].language"", language)",,,2019-06-19 19:30:02,2019-06-19 19:30:02,0.049s,FAILED
"verifyElementPropertyValue(response, ""[0].count"", count)",,,2019-06-19 19:30:02,2019-06-19 19:30:02,0.031s,FAILED
"verifyElementPropertyValue(response, ""[0].listADG"", listADG)",,,2019-06-19 19:30:02,2019-06-19 19:30:02,0.055s,FAILED
,,,,,,
Test Cases/Activity_Controller_API/Activity_Controller_Verify_Response__with_Invalid_Values,,,2019-06-19 19:30:02,2019-06-19 19:30:03,1.359s,FAILED
"response = sendRequest(findTestObject(""Activity_Controller_API/Activity_Controller_Verify_Response__with_Invalid_Values""))",,,2019-06-19 19:30:03,2019-06-19 19:30:03,0.215s,PASSED
"verifyResponseStatusCode(response, 200)",,,2019-06-19 19:30:03,2019-06-19 19:30:03,0.002s,PASSED
"verifyElementPropertyValue(response, ""[0].owner"", owner)",,,2019-06-19 19:30:03,2019-06-19 19:30:03,0.034s,FAILED
"verifyElementPropertyValue(response, ""[0].activityId"", activityId)",,,2019-06-19 19:30:03,2019-06-19 19:30:03,0.056s,FAILED
"verifyElementPropertyValue(response, ""[0].activityType"", activityType)",,,2019-06-19 19:30:03,2019-06-19 19:30:03,0.046s,FAILED
"verifyElementPropertyValue(response, ""[0].description"", description)",,,2019-06-19 19:30:03,2019-06-19 19:30:03,0.044s,FAILED
"verifyElementPropertyValue(response, ""[0].disposition"", disposition)",,,2019-06-19 19:30:03,2019-06-19 19:30:03,0.034s,FAILED
"verifyElementPropertyValue(response, ""[0].databaseName"", databaseName)",,,2019-06-19 19:30:03,2019-06-19 19:30:03,0.029s,FAILED
"verifyElementPropertyValue(response, ""[0].dataBaseAction"", dataBaseAction)",,,2019-06-19 19:30:03,2019-06-19 19:30:03,0.038s,FAILED
"verifyElementPropertyValue(response, ""[0].mapName"", mapName)",,,2019-06-19 19:30:03,2019-06-19 19:30:03,0.044s,FAILED
"verifyElementPropertyValue(response, ""[0].programID"", programID)",,,2019-06-19 19:30:03,2019-06-19 19:30:03,0.038s,FAILED
"verifyElementPropertyValue(response, ""[0].programName"", programName)",,,2019-06-19 19:30:03,2019-06-19 19:30:03,0.037s,FAILED
"verifyElementPropertyValue(response, ""[0].language"", language)",,,2019-06-19 19:30:03,2019-06-19 19:30:03,0.050s,FAILED
"verifyElementPropertyValue(response, ""[0].count"", count)",,,2019-06-19 19:30:03,2019-06-19 19:30:03,0.035s,FAILED
"verifyElementPropertyValue(response, ""[0].listADG"", listADG)",,,2019-06-19 19:30:03,2019-06-19 19:30:03,0.059s,FAILED
,,,,,,
Test Cases/Activity_Controller_API/Activity_Controller_Verify_Response_with_Invalid_parameters,,,2019-06-19 19:30:03,2019-06-19 19:30:04,0.719s,PASSED
"response = sendRequest(findTestObject(""Activity_Controller_API/Activity_Controller_Verify_Response_with_Invalid_parameters""))",,,2019-06-19 19:30:04,2019-06-19 19:30:04,0.212s,PASSED
"verifyResponseStatusCode(response, 400)",,,2019-06-19 19:30:04,2019-06-19 19:30:04,0.002s,PASSED
,,,,,,
Test Cases/Activity_Controller_API/Activity_Controller_Post_Request,,,2019-06-19 19:30:04,2019-06-19 19:30:05,0.678s,PASSED
"response = sendRequest(findTestObject(""Activity_Controller_API/Activity_Controller_Post_Request""))",,,2019-06-19 19:30:04,2019-06-19 19:30:05,0.391s,PASSED
"verifyResponseStatusCode(response, 201)",,,2019-06-19 19:30:05,2019-06-19 19:30:05,0.000s,PASSED
,,,,,,
Test Cases/Activity_Controller_API/Activity_Controller_Put_Request,,,2019-06-19 19:30:05,2019-06-19 19:30:05,0.529s,PASSED
"response = sendRequest(findTestObject(""Activity_Controller_API/Activity_Controller_Put_Request""))",,,2019-06-19 19:30:05,2019-06-19 19:30:05,0.200s,PASSED
"verifyResponseStatusCode(response, 200)",,,2019-06-19 19:30:05,2019-06-19 19:30:05,0.000s,PASSED
,,,,,,
Test Cases/Activity_Controller_API/Activity_Controller_Delete_Request_with_Valid_Parameters,,,2019-06-19 19:30:05,2019-06-19 19:30:06,0.561s,PASSED
"response = sendRequest(findTestObject(""Activity_Controller_API/Activity_Controller_Delete_Request_with_Valid_Parameters""))",,,2019-06-19 19:30:06,2019-06-19 19:30:06,0.261s,PASSED
"verifyResponseStatusCode(response, 200)",,,2019-06-19 19:30:06,2019-06-19 19:30:06,0.000s,PASSED
,,,,,,
Test Cases/Activity_Controller_API/Activity_Controller_Delete_Request_with_Invalid_Parameters,,,2019-06-19 19:30:06,2019-06-19 19:30:07,0.544s,PASSED
"response = sendRequest(findTestObject(""Activity_Controller_API/Activity_Controller_Delete_Request_with_Invalid_Parameters""))",,,2019-06-19 19:30:06,2019-06-19 19:30:07,0.157s,PASSED
"verifyResponseStatusCode(response, 400)",,,2019-06-19 19:30:07,2019-06-19 19:30:07,0.000s,PASSED
