Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Ccp_Controller_API,,,2019-06-19 19:04:14,2019-06-19 19:04:30,16.259s,FAILED
,,,,,,
Test Cases/Ccp_Controller_API/Ccp_Controller_Verify_Response_with_valid_Values,,,2019-06-19 19:04:14,2019-06-19 19:04:20,5.891s,PASSED
"response = sendRequest(findTestObject(""Ccp_Controller_API/Ccp_Controller_Verify_Response_with_valid_Values""))",,,2019-06-19 19:04:15,2019-06-19 19:04:20,4.841s,PASSED
"verifyResponseStatusCode(response, 200)",,,2019-06-19 19:04:20,2019-06-19 19:04:20,0.015s,PASSED
"verifyElementPropertyValue(response, ""[0].type"", type)",,,2019-06-19 19:04:20,2019-06-19 19:04:20,0.091s,PASSED
"verifyElementPropertyValue(response, ""[0].owner"", owner)",,,2019-06-19 19:04:20,2019-06-19 19:04:20,0.054s,PASSED
"verifyElementPropertyValue(response, ""[0].application"", application)",,,2019-06-19 19:04:20,2019-06-19 19:04:20,0.047s,PASSED
"verifyElementPropertyValue(response, ""[0].ccpid"", ccpid)",,,2019-06-19 19:04:20,2019-06-19 19:04:20,0.033s,PASSED
"verifyElementPropertyValue(response, ""[0].description"", description)",,,2019-06-19 19:04:20,2019-06-19 19:04:20,0.017s,PASSED
"verifyElementPropertyValue(response, ""[0].messageCategory"", messageCategory)",,,2019-06-19 19:04:20,2019-06-19 19:04:20,0.031s,PASSED
,,,,,,
Test Cases/Ccp_Controller_API/Ccp_Controller_Verify_Response_with_Empty_Values,,,2019-06-19 19:04:20,2019-06-19 19:04:21,0.990s,FAILED
"response = sendRequest(findTestObject(""Ccp_Controller_API/Ccp_Controller_Verify_Response_with_Empty_Values""))",,,2019-06-19 19:04:21,2019-06-19 19:04:21,0.252s,PASSED
"verifyResponseStatusCode(response, 200)",,,2019-06-19 19:04:21,2019-06-19 19:04:21,0.003s,PASSED
"verifyElementPropertyValue(response, ""[0].type"", type)",,,2019-06-19 19:04:21,2019-06-19 19:04:21,0.052s,FAILED
"verifyElementPropertyValue(response, ""[0].owner"", owner)",,,2019-06-19 19:04:21,2019-06-19 19:04:21,0.039s,FAILED
"verifyElementPropertyValue(response, ""[0].application"", application)",,,2019-06-19 19:04:21,2019-06-19 19:04:21,0.033s,FAILED
"verifyElementPropertyValue(response, ""[0].ccpid"", ccpid)",,,2019-06-19 19:04:21,2019-06-19 19:04:21,0.035s,FAILED
"verifyElementPropertyValue(response, ""[0].description"", description)",,,2019-06-19 19:04:21,2019-06-19 19:04:21,0.031s,FAILED
"verifyElementPropertyValue(response, ""[0].messageCategory"", messageCategory)",,,2019-06-19 19:04:21,2019-06-19 19:04:21,0.060s,FAILED
,,,,,,
Test Cases/Ccp_Controller_API/Ccp_Controller_Verify_Response__with_Invalid_Values,,,2019-06-19 19:04:21,2019-06-19 19:04:22,0.726s,FAILED
"response = sendRequest(findTestObject(""Ccp_Controller_API/Ccp_Controller_Verify_Response__with_Invalid_Values""))",,,2019-06-19 19:04:22,2019-06-19 19:04:22,0.197s,PASSED
"verifyResponseStatusCode(response, 200)",,,2019-06-19 19:04:22,2019-06-19 19:04:22,0.002s,PASSED
"verifyElementPropertyValue(response, ""[0].type"", type)",,,2019-06-19 19:04:22,2019-06-19 19:04:22,0.033s,FAILED
"verifyElementPropertyValue(response, ""[0].owner"", owner)",,,2019-06-19 19:04:22,2019-06-19 19:04:22,0.036s,FAILED
"verifyElementPropertyValue(response, ""[0].application"", application)",,,2019-06-19 19:04:22,2019-06-19 19:04:22,0.030s,FAILED
"verifyElementPropertyValue(response, ""[0].ccpid"", ccpid)",,,2019-06-19 19:04:22,2019-06-19 19:04:22,0.025s,FAILED
"verifyElementPropertyValue(response, ""[0].description"", description)",,,2019-06-19 19:04:22,2019-06-19 19:04:22,0.021s,FAILED
"verifyElementPropertyValue(response, ""[0].messageCategory"", messageCategory)",,,2019-06-19 19:04:22,2019-06-19 19:04:22,0.035s,FAILED
,,,,,,
Test Cases/Ccp_Controller_API/Ccp_Controller_Verify_Response_with_Invalid_parameters,,,2019-06-19 19:04:22,2019-06-19 19:04:23,0.482s,PASSED
"response = sendRequest(findTestObject(""Ccp_Controller_API/Ccp_Controller_Verify_Response_with_Invalid_parameters""))",,,2019-06-19 19:04:22,2019-06-19 19:04:23,0.185s,PASSED
"verifyResponseStatusCode(response, 400)",,,2019-06-19 19:04:23,2019-06-19 19:04:23,0.000s,PASSED
,,,,,,
Test Cases/Ccp_Controller_API/Ccp_Controller_Post_Request,,,2019-06-19 19:04:23,2019-06-19 19:04:24,1.697s,PASSED
"response = sendRequest(findTestObject(""Ccp_Controller_API/Ccp_Controller_Post_Request""))",,,2019-06-19 19:04:23,2019-06-19 19:04:24,1.339s,PASSED
"verifyResponseStatusCode(response, 201)",,,2019-06-19 19:04:24,2019-06-19 19:04:24,0.001s,PASSED
,,,,,,
Test Cases/Ccp_Controller_API/Ccp_Controller_Put_Request,,,2019-06-19 19:04:24,2019-06-19 19:04:28,4.050s,PASSED
"response = sendRequest(findTestObject(""Ccp_Controller_API/Ccp_Controller_Put_Request""))",,,2019-06-19 19:04:25,2019-06-19 19:04:28,3.705s,PASSED
"verifyResponseStatusCode(response, 200)",,,2019-06-19 19:04:28,2019-06-19 19:04:28,0.000s,PASSED
,,,,,,
Test Cases/Ccp_Controller_API/Ccp_Controller_Delete_Request_with_Valid_Parameters,,,2019-06-19 19:04:28,2019-06-19 19:04:29,0.776s,PASSED
"response = sendRequest(findTestObject(""Ccp_Controller_API/Ccp_Controller_Delete_Request_with_Valid_Parameters""))",,,2019-06-19 19:04:29,2019-06-19 19:04:29,0.304s,PASSED
"verifyResponseStatusCode(response, 200)",,,2019-06-19 19:04:29,2019-06-19 19:04:29,0.002s,PASSED
,,,,,,
Test Cases/Ccp_Controller_API/Ccp_Controller_Delete_Request_with_Invalid_Parameters,,,2019-06-19 19:04:29,2019-06-19 19:04:30,0.778s,PASSED
"response = sendRequest(findTestObject(""Ccp_Controller_API/Ccp_Controller_Delete_Request_with_Invalid_Parameters""))",,,2019-06-19 19:04:30,2019-06-19 19:04:30,0.288s,PASSED
"verifyResponseStatusCode(response, 400)",,,2019-06-19 19:04:30,2019-06-19 19:04:30,0.002s,PASSED
