Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Defination_Group_Controller_API,,,2019-06-28 09:37:20,2019-06-28 09:37:31,11.337s,FAILED
,,,,,,
Test Cases/Defination_Group_Controller_API/Defination_Group_Controller_Verify_Response_with_valid_Values,,,2019-06-28 09:37:21,2019-06-28 09:37:26,5.084s,PASSED
"response = sendRequest(findTestObject(""Defination_Group_Controller_API/Defination_Group_Controller_Verify_Response_with_valid_Values""))",,,2019-06-28 09:37:21,2019-06-28 09:37:25,4.035s,PASSED
"verifyResponseStatusCode(response, 200)",,,2019-06-28 09:37:25,2019-06-28 09:37:25,0.041s,PASSED
"verifyElementPropertyValue(response, ""[0].typ"", typ)",,,2019-06-28 09:37:25,2019-06-28 09:37:26,0.141s,PASSED
"verifyElementPropertyValue(response, ""[0].owner"", owner)",,,2019-06-28 09:37:26,2019-06-28 09:37:26,0.040s,PASSED
"verifyElementPropertyValue(response, ""[0].dgId"", dgId)",,,2019-06-28 09:37:26,2019-06-28 09:37:26,0.046s,PASSED
"verifyElementPropertyValue(response, ""[0].cobCopyBook"", cobCopyBook)",,,2019-06-28 09:37:26,2019-06-28 09:37:26,0.031s,PASSED
"verifyElementPropertyValue(response, ""[0].macro"", macro)",,,2019-06-28 09:37:26,2019-06-28 09:37:26,0.032s,PASSED
"verifyElementPropertyValue(response, ""[0].description"", description)",,,2019-06-28 09:37:26,2019-06-28 09:37:26,0.043s,PASSED
,,,,,,
Test Cases/Defination_Group_Controller_API/Defination_Group_Controller_Verify_Response_with_Empty_Values,,,2019-06-28 09:37:26,2019-06-28 09:37:27,1.118s,FAILED
"response = sendRequest(findTestObject(""Defination_Group_Controller_API/Defination_Group_Controller_Verify_Response_with_Empty_Values""))",,,2019-06-28 09:37:26,2019-06-28 09:37:27,0.361s,PASSED
"verifyResponseStatusCode(response, 200)",,,2019-06-28 09:37:27,2019-06-28 09:37:27,0.000s,PASSED
"verifyElementPropertyValue(response, ""[0].typ"", typ)",,,2019-06-28 09:37:27,2019-06-28 09:37:27,0.051s,FAILED
"verifyElementPropertyValue(response, ""[0].owner"", owner)",,,2019-06-28 09:37:27,2019-06-28 09:37:27,0.050s,FAILED
"verifyElementPropertyValue(response, ""[0].dgId"", dgId)",,,2019-06-28 09:37:27,2019-06-28 09:37:27,0.049s,FAILED
"verifyElementPropertyValue(response, ""[0].cobCopyBook"", cobCopyBook)",,,2019-06-28 09:37:27,2019-06-28 09:37:27,0.036s,FAILED
"verifyElementPropertyValue(response, ""[0].macro"", macro)",,,2019-06-28 09:37:27,2019-06-28 09:37:27,0.038s,FAILED
"verifyElementPropertyValue(response, ""[0].description"", description)",,,2019-06-28 09:37:27,2019-06-28 09:37:27,0.049s,FAILED
,,,,,,
Test Cases/Defination_Group_Controller_API/Defination_Group_Controller_Verify_Response__with_Invalid_Values,,,2019-06-28 09:37:27,2019-06-28 09:37:28,1.191s,FAILED
"response = sendRequest(findTestObject(""Defination_Group_Controller_API/Defination_Group_Controller_Verify_Response__with_Invalid_Values""))",,,2019-06-28 09:37:27,2019-06-28 09:37:28,0.382s,PASSED
"verifyResponseStatusCode(response, 200)",,,2019-06-28 09:37:28,2019-06-28 09:37:28,0.000s,PASSED
"verifyElementPropertyValue(response, ""[0].typ"", typ)",,,2019-06-28 09:37:28,2019-06-28 09:37:28,0.069s,FAILED
"verifyElementPropertyValue(response, ""[0].owner"", owner)",,,2019-06-28 09:37:28,2019-06-28 09:37:28,0.069s,FAILED
"verifyElementPropertyValue(response, ""[0].dgId"", dgId)",,,2019-06-28 09:37:28,2019-06-28 09:37:28,0.056s,FAILED
"verifyElementPropertyValue(response, ""[0].cobCopyBook"", cobCopyBook)",,,2019-06-28 09:37:28,2019-06-28 09:37:28,0.050s,FAILED
