Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Fps_Controller_API,,,2019-07-19 11:11:55,2019-07-19 11:12:07,12.083s,FAILED
,,,,,,
Test Cases/Fps_Controller_API/Fps_Controller_Verify_Response_with_valid_Values,,,2019-07-19 11:11:56,2019-07-19 11:12:01,5.269s,PASSED
"response = sendRequest(findTestObject(""Fps_Controller_API/Fps_Controller_Verify_Response_with_valid_Values""))",,,2019-07-19 11:11:57,2019-07-19 11:12:00,3.209s,PASSED
"verifyResponseStatusCode(response, 200)",,,2019-07-19 11:12:00,2019-07-19 11:12:00,0.048s,PASSED
"verifyElementPropertyValue(response, ""[0].type"", type)",,,2019-07-19 11:12:00,2019-07-19 11:12:00,0.135s,PASSED
"verifyElementPropertyValue(response, ""[0].owner"", owner)",,,2019-07-19 11:12:00,2019-07-19 11:12:00,0.053s,PASSED
"verifyElementPropertyValue(response, ""[0].application"", application)",,,2019-07-19 11:12:00,2019-07-19 11:12:00,0.048s,PASSED
"verifyElementPropertyValue(response, ""[0].function"", function)",,,2019-07-19 11:12:00,2019-07-19 11:12:00,0.045s,PASSED
"verifyElementPropertyValue(response, ""[0].sequence"", sequence)",,,2019-07-19 11:12:00,2019-07-19 11:12:01,0.033s,PASSED
"verifyElementPropertyValue(response, ""[0].screenId"", screenId)",,,2019-07-19 11:12:01,2019-07-19 11:12:01,0.030s,PASSED
"verifyElementPropertyValue(response, ""[0].description"", description)",,,2019-07-19 11:12:01,2019-07-19 11:12:01,0.067s,PASSED
"verifyElementPropertyValue(response, ""[0].statusCode"", statusCode)",,,2019-07-19 11:12:01,2019-07-19 11:12:01,0.023s,PASSED
"verifyElementPropertyValue(response, ""[0].dgAction"", dgAction)",,,2019-07-19 11:12:01,2019-07-19 11:12:01,0.037s,PASSED
"verifyElementPropertyValue(response, ""[0].initActivity"", initActivity)",,,2019-07-19 11:12:01,2019-07-19 11:12:01,0.052s,PASSED
"verifyElementPropertyValue(response, ""[0].initType"", initType)",,,2019-07-19 11:12:01,2019-07-19 11:12:01,0.040s,PASSED
"verifyElementPropertyValue(response, ""[0].displayFirst"", displayFirst)",,,2019-07-19 11:12:01,2019-07-19 11:12:01,0.092s,PASSED
"verifyElementPropertyValue(response, ""[0].displayActivity"", displayActivity)",,,2019-07-19 11:12:01,2019-07-19 11:12:01,0.048s,PASSED
"verifyElementPropertyValue(response, ""[0].dblockActivity"", dblockActivity)",,,2019-07-19 11:12:01,2019-07-19 11:12:01,0.048s,PASSED
"verifyElementPropertyValue(response, ""[0].linkactivity"", linkactivity)",,,2019-07-19 11:12:01,2019-07-19 11:12:01,0.028s,PASSED
"verifyElementPropertyValue(response, ""[0].userEnrollment"", userEnrollment)",,,2019-07-19 11:12:01,2019-07-19 11:12:01,0.020s,PASSED
"verifyElementPropertyValue(response, ""[0].establishedNewLevel"", establishedNewLevel)",,,2019-07-19 11:12:01,2019-07-19 11:12:01,0.023s,PASSED
"verifyElementPropertyValue(response, ""[0].fpskeyApplication"", fpskeyApplication)",,,2019-07-19 11:12:01,2019-07-19 11:12:01,0.032s,PASSED
"verifyElementPropertyValue(response, ""[0].fpskeyFunction"", fpskeyFunction)",,,2019-07-19 11:12:01,2019-07-19 11:12:01,0.029s,PASSED
"verifyElementPropertyValue(response, ""[0].fpskeySequence"", fpskeySequence)",,,2019-07-19 11:12:01,2019-07-19 11:12:01,0.019s,PASSED
"verifyElementPropertyValue(response, ""[0].highUseIndicator"", highUseIndicator)",,,2019-07-19 11:12:01,2019-07-19 11:12:01,0.035s,PASSED
"verifyElementPropertyValue(response, ""[0].efskey"", efskey)",,,2019-07-19 11:12:01,2019-07-19 11:12:01,0.026s,PASSED
"verifyElementPropertyValue(response, ""[0].efsaction"", efsaction)",,,2019-07-19 11:12:01,2019-07-19 11:12:01,0.022s,PASSED
"verifyElementPropertyValue(response, ""[0].functionSecurityLevel"", functionSecurityLevel)",,,2019-07-19 11:12:01,2019-07-19 11:12:01,0.019s,PASSED
,,,,,,
Test Cases/Fps_Controller_API/Fps_Controller_Verify_Response_with_Empty_Values,,,2019-07-19 11:12:01,2019-07-19 11:12:03,1.699s,FAILED
"response = sendRequest(findTestObject(""Fps_Controller_API/Fps_Controller_Verify_Response_with_Empty_Values""))",,,2019-07-19 11:12:02,2019-07-19 11:12:02,0.356s,PASSED
"verifyResponseStatusCode(response, 200)",,,2019-07-19 11:12:02,2019-07-19 11:12:02,0.004s,PASSED
"verifyElementPropertyValue(response, ""[0].type"", type)",,,2019-07-19 11:12:02,2019-07-19 11:12:02,0.057s,FAILED
"verifyElementPropertyValue(response, ""[0].owner"", owner)",,,2019-07-19 11:12:02,2019-07-19 11:12:02,0.041s,FAILED
"verifyElementPropertyValue(response, ""[0].application"", application)",,,2019-07-19 11:12:02,2019-07-19 11:12:02,0.026s,FAILED
"verifyElementPropertyValue(response, ""[0].function"", function)",,,2019-07-19 11:12:02,2019-07-19 11:12:02,0.023s,FAILED
"verifyElementPropertyValue(response, ""[0].sequence"", sequence)",,,2019-07-19 11:12:02,2019-07-19 11:12:02,0.029s,FAILED
"verifyElementPropertyValue(response, ""[0].screenId"", screenId)",,,2019-07-19 11:12:02,2019-07-19 11:12:02,0.045s,FAILED
"verifyElementPropertyValue(response, ""[0].description"", description)",,,2019-07-19 11:12:02,2019-07-19 11:12:02,0.040s,FAILED
"verifyElementPropertyValue(response, ""[0].statusCode"", statusCode)",,,2019-07-19 11:12:02,2019-07-19 11:12:02,0.030s,FAILED
"verifyElementPropertyValue(response, ""[0].dgAction"", dgAction)",,,2019-07-19 11:12:02,2019-07-19 11:12:02,0.034s,FAILED
"verifyElementPropertyValue(response, ""[0].initActivity"", initActivity)",,,2019-07-19 11:12:02,2019-07-19 11:12:02,0.029s,FAILED
"verifyElementPropertyValue(response, ""[0].initType"", initType)",,,2019-07-19 11:12:02,2019-07-19 11:12:02,0.032s,FAILED
"verifyElementPropertyValue(response, ""[0].displayFirst"", displayFirst)",,,2019-07-19 11:12:02,2019-07-19 11:12:02,0.037s,FAILED
"verifyElementPropertyValue(response, ""[0].displayActivity"", displayActivity)",,,2019-07-19 11:12:02,2019-07-19 11:12:03,0.039s,FAILED
"verifyElementPropertyValue(response, ""[0].dblockActivity"", dblockActivity)",,,2019-07-19 11:12:03,2019-07-19 11:12:03,0.027s,FAILED
"verifyElementPropertyValue(response, ""[0].linkactivity"", linkactivity)",,,2019-07-19 11:12:03,2019-07-19 11:12:03,0.035s,FAILED
"verifyElementPropertyValue(response, ""[0].userEnrollment"", userEnrollment)",,,2019-07-19 11:12:03,2019-07-19 11:12:03,0.051s,FAILED
"verifyElementPropertyValue(response, ""[0].establishedNewLevel"", establishedNewLevel)",,,2019-07-19 11:12:03,2019-07-19 11:12:03,0.033s,FAILED
"verifyElementPropertyValue(response, ""[0].fpskeyApplication"", fpskeyApplication)",,,2019-07-19 11:12:03,2019-07-19 11:12:03,0.035s,FAILED
"verifyElementPropertyValue(response, ""[0].fpskeyFunction"", fpskeyFunction)",,,2019-07-19 11:12:03,2019-07-19 11:12:03,0.050s,FAILED
"verifyElementPropertyValue(response, ""[0].fpskeySequence"", fpskeySequence)",,,2019-07-19 11:12:03,2019-07-19 11:12:03,0.040s,FAILED
"verifyElementPropertyValue(response, ""[0].highUseIndicator"", highUseIndicator)",,,2019-07-19 11:12:03,2019-07-19 11:12:03,0.053s,FAILED
"verifyElementPropertyValue(response, ""[0].efskey"", efskey)",,,2019-07-19 11:12:03,2019-07-19 11:12:03,0.038s,FAILED
"verifyElementPropertyValue(response, ""[0].efsaction"", efsaction)",,,2019-07-19 11:12:03,2019-07-19 11:12:03,0.055s,FAILED
"verifyElementPropertyValue(response, ""[0].functionSecurityLevel"", functionSecurityLevel)",,,2019-07-19 11:12:03,2019-07-19 11:12:03,0.043s,FAILED
,,,,,,
Test Cases/Fps_Controller_API/Fps_Controller_Verify_Response__with_Invalid_Values,,,2019-07-19 11:12:03,2019-07-19 11:12:05,1.618s,FAILED
"response = sendRequest(findTestObject(""Fps_Controller_API/Fps_Controller_Verify_Response__with_Invalid_Values""))",,,2019-07-19 11:12:03,2019-07-19 11:12:04,0.445s,PASSED
