Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Map_Controller_API,,,2019-06-24 13:20:29,2019-06-24 13:20:48,18.784s,FAILED
,,,,,,
Test Cases/Map_Controller_API/Map_Controller_Verify_Response_with_valid_Values,,,2019-06-24 13:20:30,2019-06-24 13:20:36,5.862s,PASSED
"response = sendRequest(findTestObject(""Map_Controller_API/Map_Controller_Verify_Response_with_valid_Values""))",,,2019-06-24 13:20:31,2019-06-24 13:20:35,4.047s,PASSED
"verifyResponseStatusCode(response, 200)",,,2019-06-24 13:20:35,2019-06-24 13:20:35,0.037s,PASSED
"verifyElementPropertyValue(response, ""[0].typ"", typ)",,,2019-06-24 13:20:35,2019-06-24 13:20:35,0.185s,PASSED
"verifyElementPropertyValue(response, ""[0].owner"", owner)",,,2019-06-24 13:20:35,2019-06-24 13:20:35,0.038s,PASSED
"verifyElementPropertyValue(response, ""[0].language"", language)",,,2019-06-24 13:20:35,2019-06-24 13:20:35,0.059s,PASSED
"verifyElementPropertyValue(response, ""[0].mapName"", mapName)",,,2019-06-24 13:20:35,2019-06-24 13:20:35,0.037s,PASSED
"verifyElementPropertyValue(response, ""[0].device"", device)",,,2019-06-24 13:20:35,2019-06-24 13:20:35,0.030s,PASSED
"verifyElementPropertyValue(response, ""[0].compGroup"", compGroup)",,,2019-06-24 13:20:35,2019-06-24 13:20:35,0.037s,PASSED
"verifyElementPropertyValue(response, ""[0].description"", description)",,,2019-06-24 13:20:35,2019-06-24 13:20:35,0.032s,PASSED
"verifyElementPropertyValue(response, ""[0].linkname"", linkname)",,,2019-06-24 13:20:35,2019-06-24 13:20:35,0.034s,PASSED
"verifyElementPropertyValue(response, ""[0].type"", type)",,,2019-06-24 13:20:35,2019-06-24 13:20:35,0.033s,PASSED
"verifyElementPropertyValue(response, ""[0].txn"", txn)",,,2019-06-24 13:20:35,2019-06-24 13:20:35,0.045s,PASSED
"verifyElementPropertyValue(response, ""[0].a"", a)",,,2019-06-24 13:20:35,2019-06-24 13:20:35,0.057s,PASSED
"verifyElementPropertyValue(response, ""[0].b"", b)",,,2019-06-24 13:20:35,2019-06-24 13:20:35,0.040s,PASSED
"verifyElementPropertyValue(response, ""[0].x"", x)",,,2019-06-24 13:20:35,2019-06-24 13:20:35,0.039s,PASSED
"verifyElementPropertyValue(response, ""[0].y"", y)",,,2019-06-24 13:20:35,2019-06-24 13:20:35,0.035s,PASSED
"verifyElementPropertyValue(response, ""[0].z"", z)",,,2019-06-24 13:20:35,2019-06-24 13:20:35,0.032s,PASSED
"verifyElementPropertyValue(response, ""[0].mapType"", mapType)",,,2019-06-24 13:20:35,2019-06-24 13:20:35,0.040s,PASSED
"verifyElementPropertyValue(response, ""[0].noOfDg"", noOfDg)",,,2019-06-24 13:20:35,2019-06-24 13:20:35,0.032s,PASSED
