Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Program_Controller_API,,,2019-07-17 10:50:36,2019-07-17 10:50:49,12.533s,FAILED
,,,,,,
Test Cases/Program_Controller_API/Program_Controller_Verify_Response_with_valid_Values,,,2019-07-17 10:50:37,2019-07-17 10:50:44,6.714s,PASSED
"response = sendRequest(findTestObject(""Program_Controller_API/Program_Controller_Verify_Response_with_valid_Values""))",,,2019-07-17 10:50:38,2019-07-17 10:50:43,5.198s,PASSED
"verifyResponseStatusCode(response, 200)",,,2019-07-17 10:50:43,2019-07-17 10:50:43,0.026s,PASSED
"verifyElementPropertyValue(response, ""[0].pgm.type"", pgm_type)",,,2019-07-17 10:50:43,2019-07-17 10:50:43,0.094s,PASSED
"verifyElementPropertyValue(response, ""[0].pgm.owner"", pgm_owner)",,,2019-07-17 10:50:43,2019-07-17 10:50:43,0.031s,PASSED
"verifyElementPropertyValue(response, ""[0].pgm.pgmId"", pgm_pgmId)",,,2019-07-17 10:50:43,2019-07-17 10:50:43,0.030s,PASSED
"verifyElementPropertyValue(response, ""[0].pgm.linkName"", pgm_linkName)",,,2019-07-17 10:50:43,2019-07-17 10:50:43,0.031s,PASSED
"verifyElementPropertyValue(response, ""[0].pgm.description"", pgm_description)",,,2019-07-17 10:50:43,2019-07-17 10:50:44,0.033s,PASSED
"verifyElementPropertyValue(response, ""[0].pgm.language"", pgm_language)",,,2019-07-17 10:50:44,2019-07-17 10:50:44,0.030s,PASSED
"verifyElementPropertyValue(response, ""[0].pgm.status"", pgm_status)",,,2019-07-17 10:50:44,2019-07-17 10:50:44,0.039s,PASSED
"verifyElementPropertyValue(response, ""[0].pdg.type"", pdg_type)",,,2019-07-17 10:50:44,2019-07-17 10:50:44,0.031s,PASSED
"verifyElementPropertyValue(response, ""[0].pdg.number"", pdg_number)",,,2019-07-17 10:50:44,2019-07-17 10:50:44,0.030s,PASSED
"verifyElementPropertyValue(response, ""[0].pdg.dgNumberList"", pdg_dgNumberList)",,,2019-07-17 10:50:44,2019-07-17 10:50:44,0.034s,PASSED
"verifyElementPropertyValue(response, ""[0].pac.type"", pac_type)",,,2019-07-17 10:50:44,2019-07-17 10:50:44,0.034s,PASSED
"verifyElementPropertyValue(response, ""[0].pac.number"", pac_number)",,,2019-07-17 10:50:44,2019-07-17 10:50:44,0.031s,PASSED
"verifyElementPropertyValue(response, ""[0].pac.actNumbersList"", pac_act_NumbersList)",,,2019-07-17 10:50:44,2019-07-17 10:50:44,0.025s,PASSED
,,,,,,
Test Cases/Program_Controller_API/Program_Controller_Verify_Response_with_Empty_Values,,,2019-07-17 10:50:44,2019-07-17 10:50:45,1.298s,FAILED
"response = sendRequest(findTestObject(""Program_Controller_API/Program_Controller_Verify_Response_with_Empty_Values""))",,,2019-07-17 10:50:44,2019-07-17 10:50:45,0.271s,PASSED
"verifyResponseStatusCode(response, 200)",,,2019-07-17 10:50:45,2019-07-17 10:50:45,0.002s,PASSED
"verifyElementPropertyValue(response, ""[0].pgm.type"", pgm_type)",,,2019-07-17 10:50:45,2019-07-17 10:50:45,0.029s,FAILED
"verifyElementPropertyValue(response, ""[0].pgm.owner"", pgm_owner)",,,2019-07-17 10:50:45,2019-07-17 10:50:45,0.023s,FAILED
