Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Sdb_Controller_API,,,2019-07-17 10:50:54,2019-07-17 10:51:06,12.411s,FAILED
,,,,,,
Test Cases/Sdb_Controller_API/Sdb_Controller_Verify_Response_with_valid_Values,,,2019-07-17 10:50:54,2019-07-17 10:51:01,6.521s,PASSED
"response = sendRequest(findTestObject(""Sdb_Controller_API/Sdb_Controller_Verify_Response_with_valid_Values""))",,,2019-07-17 10:50:56,2019-07-17 10:51:00,4.455s,PASSED
"verifyResponseStatusCode(response, 200)",,,2019-07-17 10:51:00,2019-07-17 10:51:00,0.025s,PASSED
"verifyElementPropertyValue(response, ""[0].typ"", typ)",,,2019-07-17 10:51:00,2019-07-17 10:51:00,0.178s,PASSED
"verifyElementPropertyValue(response, ""[0].own"", own)",,,2019-07-17 10:51:00,2019-07-17 10:51:00,0.044s,PASSED
"verifyElementPropertyValue(response, ""[0].sdbId"", sdbId)",,,2019-07-17 10:51:00,2019-07-17 10:51:00,0.050s,PASSED
"verifyElementPropertyValue(response, ""[0].description"", description)",,,2019-07-17 10:51:00,2019-07-17 10:51:00,0.046s,PASSED
"verifyElementPropertyValue(response, ""[0].filetyp"", filetyp)",,,2019-07-17 10:51:00,2019-07-17 10:51:00,0.036s,PASSED
"verifyElementPropertyValue(response, ""[0].deviceClass"", deviceClass)",,,2019-07-17 10:51:00,2019-07-17 10:51:00,0.035s,PASSED
"verifyElementPropertyValue(response, ""[0].accessMethod"", accessMethod)",,,2019-07-17 10:51:01,2019-07-17 10:51:01,0.066s,PASSED
"verifyElementPropertyValue(response, ""[0].recFmt"", recFmt)",,,2019-07-17 10:51:01,2019-07-17 10:51:01,0.041s,PASSED
"verifyElementPropertyValue(response, ""[0].logicalRecLength"", logicalRecLength)",,,2019-07-17 10:51:01,2019-07-17 10:51:01,0.040s,PASSED
"verifyElementPropertyValue(response, ""[0].ddName"", ddName)",,,2019-07-17 10:51:01,2019-07-17 10:51:01,0.052s,PASSED
"verifyElementPropertyValue(response, ""[0].recFm"", recFm)",,,2019-07-17 10:51:01,2019-07-17 10:51:01,0.085s,PASSED
"verifyElementPropertyValue(response, ""[0].blockSize"", blockSize)",,,2019-07-17 10:51:01,2019-07-17 10:51:01,0.050s,PASSED
"verifyElementPropertyValue(response, ""[0].logDbType"", logDbType)",,,2019-07-17 10:51:01,2019-07-17 10:51:01,0.041s,PASSED
,,,,,,
Test Cases/Sdb_Controller_API/Sdb_Controller_Verify_Response_with_Empty_Values,,,2019-07-17 10:51:01,2019-07-17 10:51:02,1.119s,FAILED
"response = sendRequest(findTestObject(""Sdb_Controller_API/Sdb_Controller_Verify_Response_with_Empty_Values""))",,,2019-07-17 10:51:01,2019-07-17 10:51:02,0.194s,PASSED
"verifyResponseStatusCode(response, 200)",,,2019-07-17 10:51:02,2019-07-17 10:51:02,0.002s,PASSED
"verifyElementPropertyValue(response, ""[0].typ"", typ)",,,2019-07-17 10:51:02,2019-07-17 10:51:02,0.038s,FAILED
"verifyElementPropertyValue(response, ""[0].own"", own)",,,2019-07-17 10:51:02,2019-07-17 10:51:02,0.036s,FAILED
"verifyElementPropertyValue(response, ""[0].sdbId"", sdbId)",,,2019-07-17 10:51:02,2019-07-17 10:51:02,0.036s,FAILED
"verifyElementPropertyValue(response, ""[0].description"", description)",,,2019-07-17 10:51:02,2019-07-17 10:51:02,0.050s,FAILED
"verifyElementPropertyValue(response, ""[0].filetyp"", filetyp)",,,2019-07-17 10:51:02,2019-07-17 10:51:02,0.057s,FAILED
"verifyElementPropertyValue(response, ""[0].deviceClass"", deviceClass)",,,2019-07-17 10:51:02,2019-07-17 10:51:02,0.036s,FAILED
"verifyElementPropertyValue(response, ""[0].accessMethod"", accessMethod)",,,2019-07-17 10:51:02,2019-07-17 10:51:02,0.025s,FAILED
"verifyElementPropertyValue(response, ""[0].recFmt"", recFmt)",,,2019-07-17 10:51:02,2019-07-17 10:51:02,0.025s,FAILED
"verifyElementPropertyValue(response, ""[0].logicalRecLength"", logicalRecLength)",,,2019-07-17 10:51:02,2019-07-17 10:51:02,0.029s,FAILED
"verifyElementPropertyValue(response, ""[0].ddName"", ddName)",,,2019-07-17 10:51:02,2019-07-17 10:51:02,0.041s,FAILED
"verifyElementPropertyValue(response, ""[0].recFm"", recFm)",,,2019-07-17 10:51:02,2019-07-17 10:51:02,0.035s,FAILED
"verifyElementPropertyValue(response, ""[0].blockSize"", blockSize)",,,2019-07-17 10:51:02,2019-07-17 10:51:02,0.032s,FAILED
"verifyElementPropertyValue(response, ""[0].logDbType"", logDbType)",,,2019-07-17 10:51:02,2019-07-17 10:51:02,0.052s,FAILED
,,,,,,
Test Cases/Sdb_Controller_API/Sdb_Controller_Verify_Response__with_Invalid_Values,,,2019-07-17 10:51:02,2019-07-17 10:51:04,1.491s,FAILED
"response = sendRequest(findTestObject(""Sdb_Controller_API/Sdb_Controller_Verify_Response__with_Invalid_Values""))",,,2019-07-17 10:51:03,2019-07-17 10:51:03,0.288s,PASSED
"verifyResponseStatusCode(response, 200)",,,2019-07-17 10:51:03,2019-07-17 10:51:03,0.004s,PASSED
"verifyElementPropertyValue(response, ""[0].typ"", typ)",,,2019-07-17 10:51:03,2019-07-17 10:51:03,0.065s,FAILED
"verifyElementPropertyValue(response, ""[0].own"", own)",,,2019-07-17 10:51:03,2019-07-17 10:51:03,0.055s,FAILED
"verifyElementPropertyValue(response, ""[0].sdbId"", sdbId)",,,2019-07-17 10:51:03,2019-07-17 10:51:03,0.048s,FAILED
"verifyElementPropertyValue(response, ""[0].description"", description)",,,2019-07-17 10:51:03,2019-07-17 10:51:03,0.040s,FAILED
"verifyElementPropertyValue(response, ""[0].filetyp"", filetyp)",,,2019-07-17 10:51:03,2019-07-17 10:51:03,0.036s,FAILED
"verifyElementPropertyValue(response, ""[0].deviceClass"", deviceClass)",,,2019-07-17 10:51:03,2019-07-17 10:51:03,0.060s,FAILED
"verifyElementPropertyValue(response, ""[0].accessMethod"", accessMethod)",,,2019-07-17 10:51:03,2019-07-17 10:51:03,0.072s,FAILED
"verifyElementPropertyValue(response, ""[0].recFmt"", recFmt)",,,2019-07-17 10:51:03,2019-07-17 10:51:03,0.064s,FAILED
"verifyElementPropertyValue(response, ""[0].logicalRecLength"", logicalRecLength)",,,2019-07-17 10:51:03,2019-07-17 10:51:03,0.044s,FAILED
"verifyElementPropertyValue(response, ""[0].ddName"", ddName)",,,2019-07-17 10:51:03,2019-07-17 10:51:03,0.037s,FAILED
"verifyElementPropertyValue(response, ""[0].recFm"", recFm)",,,2019-07-17 10:51:03,2019-07-17 10:51:03,0.031s,FAILED
"verifyElementPropertyValue(response, ""[0].blockSize"", blockSize)",,,2019-07-17 10:51:03,2019-07-17 10:51:03,0.025s,FAILED
"verifyElementPropertyValue(response, ""[0].logDbType"", logDbType)",,,2019-07-17 10:51:03,2019-07-17 10:51:03,0.048s,FAILED
,,,,,,
Test Cases/Sdb_Controller_API/Sdb_Controller_Verify_Response_with_Invalid_parameters,,,2019-07-17 10:51:04,2019-07-17 10:51:04,0.745s,PASSED
"response = sendRequest(findTestObject(""Sdb_Controller_API/Sdb_Controller_Verify_Response_with_Invalid_parameters""))",,,2019-07-17 10:51:04,2019-07-17 10:51:04,0.230s,PASSED
"verifyResponseStatusCode(response, 400)",,,2019-07-17 10:51:04,2019-07-17 10:51:04,0.003s,PASSED
,,,,,,
Test Cases/Sdb_Controller_API/Sdb_Controller_Post_Request,,,2019-07-17 10:51:04,2019-07-17 10:51:05,0.524s,PASSED
"response = sendRequest(findTestObject(""Sdb_Controller_API/Sdb_Controller_Post_Request""))",,,2019-07-17 10:51:05,2019-07-17 10:51:05,0.204s,PASSED
"verifyResponseStatusCode(response, 201)",,,2019-07-17 10:51:05,2019-07-17 10:51:05,0.001s,PASSED
,,,,,,
Test Cases/Sdb_Controller_API/Sdb_Controller_Put_Request,,,2019-07-17 10:51:05,2019-07-17 10:51:05,0.461s,PASSED
"response = sendRequest(findTestObject(""Sdb_Controller_API/Sdb_Controller_Put_Request""))",,,2019-07-17 10:51:05,2019-07-17 10:51:05,0.145s,PASSED
"verifyResponseStatusCode(response, 200)",,,2019-07-17 10:51:05,2019-07-17 10:51:05,0.002s,PASSED
,,,,,,
Test Cases/Sdb_Controller_API/Sdb_Controller_Delete_Request_with_Valid_Parameters,,,2019-07-17 10:51:05,2019-07-17 10:51:06,0.374s,PASSED
"response = sendRequest(findTestObject(""Sdb_Controller_API/Sdb_Controller_Delete_Request_with_Valid_Parameters""))",,,2019-07-17 10:51:06,2019-07-17 10:51:06,0.142s,PASSED
"verifyResponseStatusCode(response, 200)",,,2019-07-17 10:51:06,2019-07-17 10:51:06,0.002s,PASSED
,,,,,,
Test Cases/Sdb_Controller_API/Sdb_Controller_Delete_Request_with_Invalid_Parameters,,,2019-07-17 10:51:06,2019-07-17 10:51:06,0.428s,PASSED
"response = sendRequest(findTestObject(""Sdb_Controller_API/Sdb_Controller_Delete_Request_with_Invalid_Parameters""))",,,2019-07-17 10:51:06,2019-07-17 10:51:06,0.170s,PASSED
"verifyResponseStatusCode(response, 400)",,,2019-07-17 10:51:06,2019-07-17 10:51:06,0.002s,PASSED
