Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Sps_Controller_API,,,2019-07-04 13:32:04,2019-07-04 13:32:17,12.926s,FAILED
,,,,,,
Test Cases/Sps_Controller_API/Sps_Controller_Verify_Response_with_valid_Values,,,2019-07-04 13:32:05,2019-07-04 13:32:11,6.175s,PASSED
"response = sendRequest(findTestObject(""Sps_Controller_API/Sps_Controller_Verify_Response_with_valid_Values""))",,,2019-07-04 13:32:06,2019-07-04 13:32:10,4.035s,PASSED
"verifyResponseStatusCode(response, 200)",,,2019-07-04 13:32:10,2019-07-04 13:32:10,0.020s,PASSED
"verifyElementPropertyValue(response, ""[0].rpt.type"", rpt_type)",,,2019-07-04 13:32:10,2019-07-04 13:32:10,0.089s,PASSED
"verifyElementPropertyValue(response, ""[0].rpt.owner"", rpt_owner)",,,2019-07-04 13:32:10,2019-07-04 13:32:10,0.030s,PASSED
"verifyElementPropertyValue(response, ""[0].rpt.dsId1"", rpt_dsId1)",,,2019-07-04 13:32:10,2019-07-04 13:32:10,0.029s,PASSED
"verifyElementPropertyValue(response, ""[0].rpt.comp"", rpt_comp)",,,2019-07-04 13:32:10,2019-07-04 13:32:10,0.032s,PASSED
"verifyElementPropertyValue(response, ""[0].rpt.pass"", rpt_pass)",,,2019-07-04 13:32:10,2019-07-04 13:32:10,0.034s,PASSED
"verifyElementPropertyValue(response, ""[0].rpt.dsId2"", rpt_dsId2)",,,2019-07-04 13:32:10,2019-07-04 13:32:10,0.039s,PASSED
"verifyElementPropertyValue(response, ""[0].rpt.reportId"", rpt_reportId)",,,2019-07-04 13:32:10,2019-07-04 13:32:10,0.030s,PASSED
"verifyElementPropertyValue(response, ""[0].rpt.criticalRpt"", rpt_criticalRpt)",,,2019-07-04 13:32:10,2019-07-04 13:32:10,0.035s,PASSED
"verifyElementPropertyValue(response, ""[0].rpt.description"", rpt_description)",,,2019-07-04 13:32:10,2019-07-04 13:32:10,0.047s,PASSED
"verifyElementPropertyValue(response, ""[0].bor.type"", bor_type)",,,2019-07-04 13:32:10,2019-07-04 13:32:10,0.026s,PASSED
"verifyElementPropertyValue(response, ""[0].bor.noOfActForBor"", bor_noOfActForBor)",,,2019-07-04 13:32:10,2019-07-04 13:32:11,0.027s,PASSED
"verifyElementPropertyValue(response, ""[0].bor.listOfActForBor"", bor_listOfActForBor)",,,2019-07-04 13:32:11,2019-07-04 13:32:11,0.037s,PASSED
"verifyElementPropertyValue(response, ""[0].pro.type"", pro_type)",,,2019-07-04 13:32:11,2019-07-04 13:32:11,0.026s,PASSED
"verifyElementPropertyValue(response, ""[0].pro.noOfActForPro"", pro_noOfActForPro)",,,2019-07-04 13:32:11,2019-07-04 13:32:11,0.032s,PASSED
"verifyElementPropertyValue(response, ""[0].pro.listOfActForPro"", pro_listOfActForPro)",,,2019-07-04 13:32:11,2019-07-04 13:32:11,0.025s,PASSED
"verifyElementPropertyValue(response, ""[0].eor.type"", eor_type)",,,2019-07-04 13:32:11,2019-07-04 13:32:11,0.031s,PASSED
"verifyElementPropertyValue(response, ""[0].eor.noOfActForEor"", eor_noOfActForEor)",,,2019-07-04 13:32:11,2019-07-04 13:32:11,0.024s,PASSED
"verifyElementPropertyValue(response, ""[0].eor.listOfActForEor"", eor_listOfActForEor)",,,2019-07-04 13:32:11,2019-07-04 13:32:11,0.031s,PASSED
,,,,,,
Test Cases/Sps_Controller_API/Sps_Controller_Verify_Response_with_Empty_Values,,,2019-07-04 13:32:11,2019-07-04 13:32:12,1.494s,FAILED
"response = sendRequest(findTestObject(""Sps_Controller_API/Sps_Controller_Verify_Response_with_Empty_Values""))",,,2019-07-04 13:32:11,2019-07-04 13:32:11,0.261s,PASSED
"verifyResponseStatusCode(response, 200)",,,2019-07-04 13:32:11,2019-07-04 13:32:11,0.002s,PASSED
