Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
hdb_Controller,,,2019-06-28 09:37:53,2019-06-28 09:38:09,15.478s,FAILED
,,,,,,
Test Cases/hdb_Controller/hdb_Controller_Verify_Response_with_valid_Values,,,2019-06-28 09:37:54,2019-06-28 09:38:02,8.389s,PASSED
"response = sendRequest(findTestObject(""hdb_Controller/hdb_Controller_Verify_Response_with_valid_Values""))",,,2019-06-28 09:37:55,2019-06-28 09:38:01,5.826s,PASSED
"verifyResponseStatusCode(response, 200)",,,2019-06-28 09:38:01,2019-06-28 09:38:01,0.031s,PASSED
"verifyElementPropertyValue(response, ""[0].hdb.type"", hdb_type)",,,2019-06-28 09:38:01,2019-06-28 09:38:01,0.165s,PASSED
"verifyElementPropertyValue(response, ""[0].hdb.owner"", hdb_owner)",,,2019-06-28 09:38:01,2019-06-28 09:38:01,0.049s,PASSED
"verifyElementPropertyValue(response, ""[0].hdb.databaseId"", hdb_databaseId)",,,2019-06-28 09:38:01,2019-06-28 09:38:01,0.054s,PASSED
"verifyElementPropertyValue(response, ""[0].hdb.coGroup"", hdb_coGroup)",,,2019-06-28 09:38:01,2019-06-28 09:38:01,0.047s,PASSED
"verifyElementPropertyValue(response, ""[0].hdb.databaseType"", hdb_databaseType)",,,2019-06-28 09:38:01,2019-06-28 09:38:01,0.060s,PASSED
"verifyElementPropertyValue(response, ""[0].hdb.description"", hdb_description)",,,2019-06-28 09:38:01,2019-06-28 09:38:01,0.114s,PASSED
"verifyElementPropertyValue(response, ""[0].hdb.readOnlyDbid"", hdb_readOnlyDbid)",,,2019-06-28 09:38:01,2019-06-28 09:38:01,0.081s,PASSED
"verifyElementPropertyValue(response, ""[0].hdb.relationalActy"", hdb_relationalActy)",,,2019-06-28 09:38:01,2019-06-28 09:38:01,0.056s,PASSED
"verifyElementPropertyValue(response, ""[0].hdb.dataPropagation"", hdb_dataPropagation)",,,2019-06-28 09:38:01,2019-06-28 09:38:01,0.043s,PASSED
"verifyElementPropertyValue(response, ""[0].vsm.type"", vsm_type)",,,2019-06-28 09:38:01,2019-06-28 09:38:01,0.047s,PASSED
"verifyElementPropertyValue(response, ""[0].vsm.version"", vsm_version)",,,2019-06-28 09:38:01,2019-06-28 09:38:02,0.046s,PASSED
"verifyElementPropertyValue(response, ""[0].vsm.ddname"", vsm_ddname)",,,2019-06-28 09:38:02,2019-06-28 09:38:02,0.045s,PASSED
"verifyElementPropertyValue(response, ""[0].vsm.datasetFormat"", vsm_datasetFormat)",,,2019-06-28 09:38:02,2019-06-28 09:38:02,0.031s,PASSED
"verifyElementPropertyValue(response, ""[0].vsm.maxRecSize"", vsm_maxRecSize)",,,2019-06-28 09:38:02,2019-06-28 09:38:02,0.045s,PASSED
"verifyElementPropertyValue(response, ""[0].vsm.password"", vsm_password)",,,2019-06-28 09:38:02,2019-06-28 09:38:02,0.046s,PASSED
"verifyElementPropertyValue(response, ""[0].ims.type"", ims_type)",,,2019-06-28 09:38:02,2019-06-28 09:38:02,0.051s,PASSED
"verifyElementPropertyValue(response, ""[0].ims.dlitype"", ims_dlitype)",,,2019-06-28 09:38:02,2019-06-28 09:38:02,0.032s,PASSED
"verifyElementPropertyValue(response, ""[0].ims.posParameter"", ims_posParameter)",,,2019-06-28 09:38:02,2019-06-28 09:38:02,0.032s,PASSED
"verifyElementPropertyValue(response, ""[0].ims.maxKeylen"", ims_maxKeylen)",,,2019-06-28 09:38:02,2019-06-28 09:38:02,0.029s,PASSED
"verifyElementPropertyValue(response, ""[0].ims.dbdName"", ims_dbdName)",,,2019-06-28 09:38:02,2019-06-28 09:38:02,0.029s,PASSED
"verifyElementPropertyValue(response, ""[0].mod.type"", mod_type)",,,2019-06-28 09:38:02,2019-06-28 09:38:02,0.067s,PASSED
"verifyElementPropertyValue(response, ""[0].mod.modelDbId"", mod_modelDbId)",,,2019-06-28 09:38:02,2019-06-28 09:38:02,0.031s,PASSED
"verifyElementPropertyValue(response, ""[0].mod.modelCoGrp"", mod_modelCoGrp)",,,2019-06-28 09:38:02,2019-06-28 09:38:02,0.036s,PASSED
"verifyElementPropertyValue(response, ""[0].mod.modelReason"", mod_modelReason)",,,2019-06-28 09:38:02,2019-06-28 09:38:02,0.030s,PASSED
"verifyElementPropertyValue(response, ""[0].dgList"", dgList)",,,2019-06-28 09:38:02,2019-06-28 09:38:02,0.019s,PASSED
,,,,,,
Test Cases/hdb_Controller/hdb_Controller_Verify_Response_with_Empty_Values,,,2019-06-28 09:38:02,2019-06-28 09:38:04,1.789s,FAILED
"response = sendRequest(findTestObject(""hdb_Controller/hdb_Controller_Verify_Response_with_Empty_Values""))",,,2019-06-28 09:38:03,2019-06-28 09:38:03,0.207s,PASSED
"verifyResponseStatusCode(response, 200)",,,2019-06-28 09:38:03,2019-06-28 09:38:03,0.000s,PASSED
"verifyElementPropertyValue(response, ""[0].hdb.type"", hdb_type)",,,2019-06-28 09:38:03,2019-06-28 09:38:03,0.044s,FAILED
"verifyElementPropertyValue(response, ""[0].hdb.owner"", hdb_owner)",,,2019-06-28 09:38:03,2019-06-28 09:38:03,0.038s,FAILED
"verifyElementPropertyValue(response, ""[0].hdb.databaseId"", hdb_databaseId)",,,2019-06-28 09:38:03,2019-06-28 09:38:03,0.027s,FAILED
"verifyElementPropertyValue(response, ""[0].hdb.coGroup"", hdb_coGroup)",,,2019-06-28 09:38:03,2019-06-28 09:38:03,0.033s,FAILED
"verifyElementPropertyValue(response, ""[0].hdb.databaseType"", hdb_databaseType)",,,2019-06-28 09:38:03,2019-06-28 09:38:03,0.045s,FAILED
"verifyElementPropertyValue(response, ""[0].hdb.description"", hdb_description)",,,2019-06-28 09:38:03,2019-06-28 09:38:03,0.031s,FAILED
"verifyElementPropertyValue(response, ""[0].hdb.readOnlyDbid"", hdb_readOnlyDbid)",,,2019-06-28 09:38:03,2019-06-28 09:38:03,0.026s,FAILED
"verifyElementPropertyValue(response, ""[0].hdb.relationalActy"", hdb_relationalActy)",,,2019-06-28 09:38:03,2019-06-28 09:38:03,0.026s,FAILED
"verifyElementPropertyValue(response, ""[0].hdb.dataPropagation"", hdb_dataPropagation)",,,2019-06-28 09:38:03,2019-06-28 09:38:03,0.043s,FAILED
"verifyElementPropertyValue(response, ""[0].vsm.type"", vsm_type)",,,2019-06-28 09:38:03,2019-06-28 09:38:03,0.055s,FAILED
"verifyElementPropertyValue(response, ""[0].vsm.version"", vsm_version)",,,2019-06-28 09:38:03,2019-06-28 09:38:03,0.065s,FAILED
"verifyElementPropertyValue(response, ""[0].vsm.ddname"", vsm_ddname)",,,2019-06-28 09:38:03,2019-06-28 09:38:03,0.052s,FAILED
"verifyElementPropertyValue(response, ""[0].vsm.datasetFormat"", vsm_datasetFormat)",,,2019-06-28 09:38:03,2019-06-28 09:38:03,0.035s,FAILED
"verifyElementPropertyValue(response, ""[0].vsm.maxRecSize"", vsm_maxRecSize)",,,2019-06-28 09:38:03,2019-06-28 09:38:03,0.059s,FAILED
"verifyElementPropertyValue(response, ""[0].vsm.password"", vsm_password)",,,2019-06-28 09:38:03,2019-06-28 09:38:03,0.040s,FAILED
"verifyElementPropertyValue(response, ""[0].ims.type"", ims_type)",,,2019-06-28 09:38:03,2019-06-28 09:38:03,0.061s,FAILED
"verifyElementPropertyValue(response, ""[0].ims.dlitype"", ims_dlitype)",,,2019-06-28 09:38:03,2019-06-28 09:38:03,0.036s,FAILED
"verifyElementPropertyValue(response, ""[0].ims.posParameter"", ims_posParameter)",,,2019-06-28 09:38:03,2019-06-28 09:38:03,0.030s,FAILED
"verifyElementPropertyValue(response, ""[0].ims.maxKeylen"", ims_maxKeylen)",,,2019-06-28 09:38:03,2019-06-28 09:38:04,0.063s,FAILED
"verifyElementPropertyValue(response, ""[0].ims.dbdName"", ims_dbdName)",,,2019-06-28 09:38:04,2019-06-28 09:38:04,0.031s,FAILED
"verifyElementPropertyValue(response, ""[0].mod.type"", mod_type)",,,2019-06-28 09:38:04,2019-06-28 09:38:04,0.044s,FAILED
"verifyElementPropertyValue(response, ""[0].mod.modelDbId"", mod_modelDbId)",,,2019-06-28 09:38:04,2019-06-28 09:38:04,0.053s,FAILED
"verifyElementPropertyValue(response, ""[0].mod.modelCoGrp"", mod_modelCoGrp)",,,2019-06-28 09:38:04,2019-06-28 09:38:04,0.078s,FAILED
"verifyElementPropertyValue(response, ""[0].mod.modelReason"", mod_modelReason)",,,2019-06-28 09:38:04,2019-06-28 09:38:04,0.027s,FAILED
"verifyElementPropertyValue(response, ""[0].dgList"", dgList)",,,2019-06-28 09:38:04,2019-06-28 09:38:04,0.035s,FAILED
,,,,,,
Test Cases/hdb_Controller/hdb_Controller_Verify_Response__with_Invalid_Values,,,2019-06-28 09:38:04,2019-06-28 09:38:05,1.464s,FAILED
"response = sendRequest(findTestObject(""hdb_Controller/hdb_Controller_Verify_Response__with_Invalid_Values""))",,,2019-06-28 09:38:04,2019-06-28 09:38:05,0.176s,PASSED
"verifyResponseStatusCode(response, 200)",,,2019-06-28 09:38:05,2019-06-28 09:38:05,0.011s,PASSED
"verifyElementPropertyValue(response, ""[0].hdb.type"", hdb_type)",,,2019-06-28 09:38:05,2019-06-28 09:38:05,0.030s,FAILED
